"notes","term","priref"
"General term referring to members of ten or more species of stout carnivores of the weasel family, found in various parts of the world, known for their burrowing ability, and some having one or more white stripes on their heads. The species differ in size, habitat, and coloration, but all are nocturnal and possess anal scent glands, powerful jaws, and large, heavy claws on their forefeet, which are used to dig for food and construct underground dens.","badger (animal)","96146"
"","wood grouse","96148"
"","influence, Rothko","96151"
"Instrument used for measuring and coordinating horizontal angles","Hollandse cirkel (geodetic instrument)","96173"
"Statement made before a notary, for example of a certain circumstance, situation or event.","statement (notarial document)","96177"
"Lists of dates and locations of burials within a church, convent, or other institution.","burial register","96179"
"Act defining how a marriage is legally regulated.","marriage contract","96184"
"Documents, usually executed under seal, containing a conveyance, especially of real estate.","deed","96185"
"formal registration of the intention to marry","ondertrouw (deposition for marriage)","96189"
"","poorterschap (hist. burghership)","96192"
"Documents asserting a right, including titles to debts, privileges, or other things in possession of another; also includes titles to anything which another should give, concede, or confer on the claimant.","claim","96194"
"Interest-bearing certificates of public or private debt, usually offered in series, constituting promises to pay the lender a certain amount of money at a fixed future date.","bond (negotiable instrument)","96195"
"","surety","96196"
"Legal instruments authorizing one to act as the attorney or agent of the grantor, either generally for the management of a specified enterprise or, specifically, for the accomplishment of a particular transaction.","power of attorney","96197"
"People, usually women, trained to assist women in childbirth. Midwives may also be qualified to give prenatal and postnatal care.","midwife","96198"
"Settlement of disputes, especially between labor and management, by a neutral party authorized to appraise the facts and arguments and make a decision binding upon the disputants. Distinguished from ""mediation"" in which a neutral party proposes a solution but has no authority to make a binding decision.","arbitration","96199"
"Document regulating the distribution of an estate.","estate division","96202"
"Notification by a notary to fulfill an obligation.","notice (notarial document)","96203"
"Recorded statements of evaluation or estimate of the market or other value, cost, utility, or other attribute of land, buildings, works of art, or other objects of property, by qualified persons.","appraisal (financial record)","96206"
"Registers that record the administration of the sacrament of baptism to members of a community. In historical usage, these registers also served as important civic documents, in that they recorded the approximate date of birth and names of new babies, their parents, and baptismal sponsors in the community.","baptismal register","96217"
"Official lists of marriages, including details considered sufficiently important to be formally noted, and maintained in a regular manner.","marriage register","96236"
"Addenda to wills, which explain, revoke, modify, or add to their provisions.","codicil","96249"
"Official statements of awards to independent contractors on project bids. These outline funding, bidders, contract amounts and other pertinent details related to the project at hand.","contract award","96250"
"Includes any written requests and lists of signatures submitted to an authority to appeal for the performance of specific action.","petition","96261"
"General term for people who specialize in working with gold.","goldworker","96315"
"","cannoneer","96326"
"Consent, for example for a planned marriage.","consent (legal concept)","96344"
"Written communications from a court, usually a probate court, or an officer informing an executor of his appointment and authority to execute the will of the testator.","letter testamentary","96356"
"","Melianthaceae family (guide term)","96374"
"Having to do with the care for the general health of a person or community, particularly when provided by an organized health service.","health care","96390"
"","autodidacticism","96463"
"Pierlike masonry elements built to strengthen or support walls or resist the lateral thrust of vaults.","buttress","96472"
"A political theory aimed at maximizing personal freedom and abolition of the state and all governmental authority.","anarchism","96494"
